loan_limit,gender,approv_in_adv,loan_type,loan_purpose,credit_worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,interest_rate_spread,upfront_charges,neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,secured_by,total_units,income,credit_type,credit_score,co-applicant_credit_type,age,submission_of_application,loan_to_value,region,security_type,status,debt_to_income,term_category
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,316500,4.25,0.281,1513.87,neg_amm,not_int,not_lpsm,408000.0,sb,pr,home,1U,9840.0,EXP,667,EXP,35-44,not_inst,77.57352941,south,direct,0,22.0,Medium-term
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,446500,3.5,-0.0731,10.81,not_neg,not_int,not_lpsm,568000.0,sb,pr,home,1U,10200.0,CRIF,689,EXP,35-44,not_inst,78.60915493,central,direct,0,31.0,Long-term
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,116500,3.75,0.8371,2898.67,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,4500.0,EXP,666,EXP,65-74,to_inst,53.44036697,south,direct,0,24.0,Medium-term
cf,Male,nopre,type1,p3,l1,nopc,nob/c,216500,4.625,0.7905,1150.0,neg_amm,not_int,not_lpsm,458000.0,sb,pr,home,1U,3900.0,CRIF,870,CIB,55-64,to_inst,47.27074236,North,direct,0,31.0,Medium-term
cf,Female,nopre,type1,p3,l1,nopc,nob/c,536500,4.99,0.6079,2475.0,neg_amm,not_int,not_lpsm,1098000.0,sb,pr,home,1U,10440.0,EXP,769,CIB,55-64,to_inst,48.86156648,south,direct,0,21.0,Long-term
cf,Joint,pre,type2,p3,l1,nopc,b/c,186500,4.625,1.8592,1982.6,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,3000.0,CIB,889,EXP,45-54,to_inst,85.55045872,south,direct,0,47.0,Long-term
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,116500,3.99,0.3599,2170.705,not_neg,not_int,lpsm,138000.0,sb,pr,home,1U,3360.0,CRIF,820,EXP,>74,to_inst,84.42028986,North,direct,1,32.0,Long-term
ncf,Joint,nopre,type1,p1,l1,nopc,nob/c,206500,4.25,0.1275,0.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,4140.0,CRIF,829,EXP,65-74,not_inst,80.03875969,North,direct,0,35.0,Long-term
ncf,Joint,pre,type1,p4,l1,nopc,nob/c,436500,4.125,-0.032,228.4,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,9480.0,CIB,596,EXP,55-64,not_inst,71.79276316,North,direct,0,32.0,Long-term
cf,Female,nopre,type1,p1,l1,nopc,nob/c,116500,4.875,0.8419,3462.0,not_neg,not_int,not_lpsm,138000.0,sb,pr,home,1U,3660.0,CRIF,529,CIB,55-64,to_inst,84.42028986,North,direct,0,30.0,Long-term
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,476500,3.99,0.5882,767.5,not_neg,not_int,not_lpsm,498000.0,sb,pr,home,1U,8760.0,CRIF,769,EXP,25-34,not_inst,95.68273092,south,direct,0,33.0,Long-term
cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,416500,4.99,0.6734,5312.5,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1U,5760.0,CIB,814,CIB,55-64,to_inst,74.64157706,south,direct,0,44.0,Long-term
cf,Female,pre,type1,p3,l1,nopc,nob/c,416500,4.625,0.9949,6982.5,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1U,5580.0,CIB,565,CIB,45-54,to_inst,78.88257576,North,direct,0,44.0,Long-term
cf,Joint,pre,type1,p1,l1,nopc,nob/c,476500,5.0,0.62,1690.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,9600.0,EXP,725,EXP,25-34,not_inst,93.7992126,south,direct,0,37.0,Long-term
cf,Female,nopre,type2,p1,l1,nopc,b/c,106500,4.5,1.5201,1078.51,not_neg,not_int,not_lpsm,108000.0,sb,pr,home,1U,2460.0,CIB,553,CIB,25-34,not_inst,98.61111111,North,direct,0,51.0,Long-term
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,396500,3.625,0.1776,5875.22,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,8760.0,CIB,796,EXP,25-34,not_inst,92.64018692,North,direct,0,32.0,Long-term
cf,Male,nopre,type1,p4,l1,nopc,nob/c,556500,4.375,0.2767,0.0,not_neg,not_int,not_lpsm,758000.0,sb,pr,home,1U,8880.0,EXP,703,CIB,45-54,not_inst,73.41688654,south,direct,0,38.0,Long-term
cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,366500,3.99,0.3599,3953.13,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,12000.0,EQUI,531,EXP,55-64,to_inst,0.8767942583732058,south,direct,1,39.0,Long-term
cf,Female,nopre,type1,p3,l2,nopc,nob/c,416500,4.5,0.48975,3953.13,neg_amm,not_int,not_lpsm,528000.0,sb,ir,home,1U,27360.0,CIB,750,CIB,35-44,not_inst,78.88257576,North,direct,1,30.0,Long-term
cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,266500,2.99,0.1713,6490.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,8340.0,CIB,570,EXP,55-64,to_inst,58.18777293,south,direct,0,39.0,Short-term
cf,Joint,pre,type1,p3,l1,nopc,nob/c,86500,5.25,1.4338,2992.75,not_neg,not_int,not_lpsm,118000.0,sb,pr,home,1U,1800.0,CIB,731,EXP,45-54,to_inst,73.30508475,North,direct,0,43.0,Long-term
cf,Male,nopre,type3,p4,l1,nopc,nob/c,476500,3.49,-0.1879,0.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,5580.0,EXP,692,CIB,55-64,to_inst,78.37171053,North,direct,0,39.0,Long-term
cf,Male,pre,type1,p4,l1,nopc,nob/c,456500,4.56,0.2376,2500.0,not_neg,not_int,not_lpsm,808000.0,sb,ir,home,1U,5700.0,CRIF,629,CIB,45-54,not_inst,56.49752475,North,direct,0,49.0,Long-term
cf,Female,nopre,type1,p3,l1,nopc,nob/c,576500,3.75,0.1891,3813.24,not_neg,not_int,not_lpsm,718000.0,sb,pr,home,1U,6540.0,EXP,679,CIB,25-34,not_inst,80.29247911,North,direct,0,44.0,Long-term
cf,Female,nopre,type1,p2,l1,nopc,nob/c,106500,4.375,1.0182,3240.0,neg_amm,not_int,not_lpsm,1578000.0,sb,pr,home,1U,2640.0,CRIF,547,CIB,35-44,to_inst,6.74904943,North,direct,0,31.0,Long-term
cf,Male,pre,type1,p3,l1,nopc,nob/c,186500,4.25,1.3011,3331.25,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,11940.0,CIB,893,CIB,35-44,to_inst,69.58955224,North,direct,0,15.0,Medium-term
cf,Male,nopre,type1,p3,l1,nopc,nob/c,446500,4.5,0.263,2178.62,not_neg,int_only,not_lpsm,618000.0,sb,pr,home,1U,4140.0,CIB,715,CIB,25-34,not_inst,72.24919094,south,direct,0,45.0,Long-term
cf,Joint,nopre,type1,p2,l1,nopc,nob/c,456500,3.99,0.3599,2741.0,neg_amm,not_int,not_lpsm,788000.0,sb,pr,home,1U,12480.0,EXP,567,EXP,55-64,not_inst,57.93147208,North,direct,1,37.0,Long-term
cf,Male,nopre,type1,p1,l1,nopc,nob/c,246500,4.0,0.2346,467.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,11640.0,CIB,560,CIB,45-54,not_inst,57.59345794,North,direct,0,44.0,Long-term
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,176500,3.25,0.495,4766.08,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,12000.0,EXP,784,EXP,45-54,to_inst,61.28472222,south,direct,0,22.0,Short-term
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,146500,3.99,0.3599,2170.705,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,2400.0,EXP,814,CIB,>74,to_inst,54.6641791,south,direct,1,56.0,Long-term
